sku_id,warehouse_id,snapshot_date,lot_number,supplier_notes,qty_on_hand,qty_reserved,unit_cost,lead_time_days,reorder_point,turnover_rate
SKU-00263,WH-002,2026-04-22 19:39:49.260122,,ok,4410.0,445,323.32,43,161,4.095437314877774
SKU-00237,WH-008,2026-04-24 19:39:49.260123,LOT-2859,,449.0,445,111.54,25,438,5.969744626576678
SKU-00070,WH-014,2026-04-24 19:39:49.260124,LOT-7445,,4524.0,134,257.79,18,196,5.324291535586014
SKU-00139,WH-011,2026-04-24 19:39:49.260126,,,4919.0,57,507.77,23,323,3.0331196606877158
SKU-00313,WH-012,2026-04-22 19:39:49.260127,LOT-3317,,4531.0,299,753.74,57,485,5.099114308090958
SKU-00495,WH-014,2026-04-23 19:39:49.260129,LOT-3843,,4550.0,67,443.84,14,358,4.367154603045801
SKU-00066,WH-015,2026-04-23 19:39:49.260130,,ok,3912.0,370,333.3,47,299,3.3781037627823034
SKU-00316,WH-009,2026-04-23 19:39:49.260132,LOT-6865,,1354.0,339,716.49,10,210,5.022412437509901
SKU-00444,WH-016,2026-04-22 19:39:49.260133,LOT-9206,,3298.0,169,163.37,88,425,4.8400038771856675
SKU-00379,WH-019,2026-04-22 19:39:49.260135,LOT-1426,,1200.0,252,69.51,11,389,5.12991954694398
SKU-00408,WH-003,2026-04-22 19:39:49.260137,,ok,2946.0,76,261.91,69,54,3.0101304272965717
SKU-00459,WH-015,2026-04-22 19:39:49.260138,,,37.0,115,74.38,35,246,1.6970546511428801
SKU-00328,WH-006,2026-04-24 19:39:49.260140,LOT-5296,ok,4969.0,408,338.53,40,284,3.91388643769341
SKU-00019,WH-003,2026-04-23 19:39:49.260144,LOT-6572,,9.0,180,196.69,9,206,3.989821613988044
SKU-00117,WH-006,2026-04-24 19:39:49.260146,LOT-9927,,1561.0,261,154.11,80,480,4.89550801110365
SKU-00207,WH-019,2026-04-22 19:39:49.260148,LOT-5229,ok,521.0,406,158.07,86,484,1.080597655045627
SKU-00482,WH-013,2026-04-24 19:39:49.260149,LOT-5073,,3671.0,138,202.86,83,203,5.082631979028359
SKU-00105,WH-010,2026-04-22 19:39:49.260150,,,3128.0,246,434.34,84,52,5.305632793939121
SKU-00427,WH-006,2026-04-24 19:39:49.260152,LOT-3315,,324.0,13,6.36,51,272,5.382234391384799
SKU-00318,WH-011,2026-04-22 19:39:49.260153,,ok,2920.0,56,495.54,88,347,5.329444528378767
SKU-00358,WH-011,2026-04-24 19:39:49.260155,LOT-4352,,439.0,428,564.66,86,184,3.0103223070461747
SKU-00053,WH-009,2026-04-22 19:39:49.260156,LOT-5536,ok,3349.0,405,573.3,67,357,3.27682601689607
SKU-00183,WH-009,2026-04-22 19:39:49.260158,LOT-8879,,2925.0,222,408.66,47,370,4.0845536689356
SKU-00233,WH-015,2026-04-23 19:39:49.260159,LOT-7494,ok,260.0,208,374.06,19,59,4.141008501350069
SKU-00243,WH-012,2026-04-23 19:39:49.260161,,ok,4285.0,277,483.43,20,53,3.189486903952682
SKU-00439,WH-001,2026-04-23 19:39:49.260162,LOT-1252,ok,377.0,258,242.68,42,304,4.541112981124217
SKU-00170,WH-008,2026-04-23 19:39:49.260164,LOT-8869,,4510.0,67,96.04,47,306,4.8890334652005585
SKU-00435,WH-002,2026-04-23 19:39:49.260165,LOT-7761,ok,3517.0,83,409.06,56,423,4.749023049481985
SKU-00425,WH-019,2026-04-23 19:39:49.260167,,,137.0,41,694.38,44,100,4.523725695034845
SKU-00322,WH-007,2026-04-23 19:39:49.260168,LOT-4252,ok,1726.0,298,391.49,69,239,4.82949902466647
SKU-00155,WH-020,2026-04-24 19:39:49.260170,LOT-7298,,1421.0,177,227.27,46,253,4.066090944793674
SKU-00050,WH-005,2026-04-23 19:39:49.260171,LOT-3230,,,299,172.99,65,347,5.010585798748441
SKU-00120,WH-008,2026-04-23 19:39:49.260173,LOT-4031,,4277.0,114,57.59,16,276,4.8672563479006055
SKU-00304,WH-009,2026-04-22 19:39:49.260174,LOT-2516,,1871.0,181,740.16,62,358,3.4349652671996616
SKU-00108,WH-019,2026-04-24 19:39:49.260176,LOT-8104,ok,2752.0,17,265.54,19,233,6.594982812711776
SKU-00451,WH-002,2026-04-22 19:39:49.260177,LOT-2921,,1030.0,200,719.04,47,98,6.214227015892662
SKU-00201,WH-016,2026-04-22 19:39:49.260179,LOT-3388,ok,827.0,88,756.31,36,72,5.222444965383929
SKU-00142,WH-014,2026-04-22 19:39:49.260180,LOT-2952,,1306.0,475,358.44,19,74,5.755958590622831
SKU-00312,WH-005,2026-04-22 19:39:49.260182,LOT-2477,,2282.0,326,340.53,68,301,4.771451067186552
SKU-00078,WH-017,2026-04-24 19:39:49.260183,LOT-5957,,67.0,269,256.06,76,244,3.9879347532159364
SKU-00416,WH-012,2026-04-24 19:39:49.260185,LOT-9709,,3944.0,125,512.24,21,162,5.753302338317432
SKU-00275,WH-011,2026-04-22 19:39:49.260186,LOT-3041,ok,3844.0,150,175.03,62,324,4.756957994129203
SKU-00463,WH-008,2026-04-22 19:39:49.260188,LOT-8907,,3885.0,482,273.65,8,248,5.273076963158199
SKU-00428,WH-009,2026-04-22 19:39:49.260190,LOT-8976,,3659.0,99,239.1,41,189,6.272108001709427
SKU-00041,WH-017,2026-04-23 19:39:49.260191,LOT-7792,ok,4294.0,450,302.65,24,90,2.568367469258777
SKU-00450,WH-020,2026-04-22 19:39:49.260192,LOT-1677,,622.0,442,64.19,8,104,4.982334656421639
SKU-00024,WH-018,2026-04-24 19:39:49.260194,LOT-9418,ok,107.0,172,425.54,36,123,3.350833711495052
SKU-00397,WH-007,2026-04-24 19:39:49.260195,LOT-5474,ok,2106.0,91,77.8,68,126,4.235687741697896
SKU-00182,WH-013,2026-04-24 19:39:49.260197,LOT-2167,,1542.0,395,627.97,5,327,3.5144226058980133
SKU-00173,WH-020,2026-04-24 19:39:49.260198,LOT-1316,,3986.0,448,339.1,51,327,5.839492456936858
SKU-00406,WH-013,2026-04-24 19:39:49.260200,,ok,1515.0,89,590.17,37,497,5.001417827589386
SKU-00138,WH-001,2026-04-24 19:39:49.260201,,,2283.0,459,108.61,21,86,4.513365391121353
SKU-00454,WH-015,2026-04-22 19:39:49.260202,LOT-5618,,1295.0,232,465.07,53,491,2.5835271059241913
SKU-00021,WH-012,2026-04-24 19:39:49.260204,LOT-8478,,4166.0,380,157.06,58,378,3.802737321604814
SKU-00085,WH-010,2026-04-22 19:39:49.260205,LOT-9227,,2182.0,214,465.85,74,101,3.873760960525648
SKU-00179,WH-001,2026-04-23 19:39:49.260207,,ok,,350,340.99,38,306,4.806904504803232
SKU-00143,WH-010,2026-04-23 19:39:49.260208,LOT-5924,ok,2072.0,436,518.99,44,310,3.9256144093100467
SKU-00436,WH-016,2026-04-24 19:39:49.260210,,ok,3601.0,104,77.13,36,95,4.058387780007596
SKU-00451,WH-012,2026-04-24 19:39:49.260211,LOT-4560,ok,1999.0,202,721.93,66,456,1.5161762057155972
SKU-00211,WH-006,2026-04-24 19:39:49.260213,,ok,4526.0,272,388.44,23,368,5.554288556679344
SKU-00288,WH-017,2026-04-24 19:39:49.260214,,,2179.0,81,540.0,61,229,3.020261442918387
SKU-00170,WH-009,2026-04-22 19:39:49.260216,,,1696.0,63,209.05,77,238,3.600763498031954
SKU-00204,WH-013,2026-04-23 19:39:49.260217,LOT-7732,,1560.0,349,579.91,49,411,5.063717111443344
SKU-00169,WH-001,2026-04-24 19:39:49.260219,LOT-1088,ok,3980.0,411,752.29,25,325,5.484736618637973
SKU-00122,WH-003,2026-04-24 19:39:49.260220,LOT-8538,,4905.0,320,765.52,50,114,4.454174704795834
SKU-00348,WH-005,2026-04-23 19:39:49.260221,LOT-9405,ok,,290,638.88,39,321,4.87062522064372
SKU-00057,WH-003,2026-04-23 19:39:49.260223,,ok,2852.0,161,323.16,26,493,5.576723493607964
SKU-00146,WH-009,2026-04-22 19:39:49.260225,LOT-6323,,,437,150.92,81,443,1.293959895218153
SKU-00055,WH-009,2026-04-24 19:39:49.260226,LOT-2591,,2317.0,370,216.39,14,339,5.486915101991143
SKU-00226,WH-002,2026-04-22 19:39:49.260227,,,4248.0,243,603.11,34,292,1.8382707506966884
SKU-00338,WH-014,2026-04-24 19:39:49.260229,LOT-4166,,,320,230.07,48,327,4.041861753340233
SKU-00259,WH-010,2026-04-24 19:39:49.260230,LOT-6535,,618.0,394,228.41,63,174,4.929746906007713
SKU-00361,WH-008,2026-04-23 19:39:49.260232,,,1277.0,77,222.74,25,311,3.258093356386463
SKU-00288,WH-005,2026-04-24 19:39:49.260233,LOT-2765,ok,554.0,282,260.16,74,426,4.185150216371474
SKU-00183,WH-008,2026-04-24 19:39:49.260235,LOT-6746,,3796.0,101,438.18,33,456,0.6113595599517874
SKU-00456,WH-004,2026-04-23 19:39:49.260236,LOT-4169,ok,701.0,180,558.29,88,317,2.861499239978304
SKU-00304,WH-018,2026-04-22 19:39:49.260237,LOT-3847,ok,2076.0,331,314.5,67,188,3.455735774185583
SKU-00020,WH-011,2026-04-24 19:39:49.260239,,ok,3752.0,401,311.96,23,147,3.227948748872673
SKU-00079,WH-018,2026-04-22 19:39:49.260240,LOT-3985,,1628.0,300,665.47,60,146,4.234410095885742
SKU-00336,WH-018,2026-04-23 19:39:49.260242,,,4375.0,456,162.67,4,154,6.48158255381513
SKU-00011,WH-010,2026-04-23 19:39:49.260243,LOT-9123,,930.0,17,490.55,14,290,5.438150100364682
SKU-00087,WH-008,2026-04-24 19:39:49.260245,LOT-9027,ok,3628.0,106,446.65,2,249,5.48502931364504
SKU-00050,WH-015,2026-04-22 19:39:49.260246,,,4970.0,127,370.59,12,493,4.968234057296891
SKU-00405,WH-008,2026-04-22 19:39:49.260248,,ok,1562.0,364,722.2,71,327,2.7052341125522057
SKU-00053,WH-010,2026-04-23 19:39:49.260249,LOT-1614,,1809.0,46,14.27,77,492,5.839109077910941
SKU-00101,WH-009,2026-04-24 19:39:49.260251,LOT-8910,,3613.0,100,643.09,60,463,4.869591909530167
SKU-00493,WH-013,2026-04-22 19:39:49.260252,LOT-9888,,963.0,487,329.22,35,91,5.044655281519535
SKU-00061,WH-002,2026-04-23 19:39:49.260254,LOT-3227,,3152.0,197,660.3,44,169,5.387303796955377
SKU-00119,WH-006,2026-04-23 19:39:49.260255,,,3687.0,241,364.49,17,71,5.02962986778425
SKU-00407,WH-014,2026-04-23 19:39:49.260257,LOT-2159,,4762.0,460,149.46,39,338,4.859392620633263
SKU-00068,WH-010,2026-04-22 19:39:49.260258,LOT-6747,,4515.0,253,454.09,55,413,3.4367445319351284
SKU-00115,WH-014,2026-04-22 19:39:49.260260,LOT-3444,,1211.0,109,778.77,70,461,3.191855851061168
SKU-00398,WH-013,2026-04-23 19:39:49.260261,,,3783.0,73,90.82,87,339,3.2007203641953614
SKU-00001,WH-007,2026-04-24 19:39:49.260263,LOT-1852,ok,3939.0,155,708.41,38,156,0.9260835878031903
SKU-00184,WH-009,2026-04-23 19:39:49.260264,LOT-6478,,1861.0,234,500.23,54,331,3.8080705389708838
SKU-00129,WH-002,2026-04-23 19:39:49.260266,LOT-9544,,4443.0,309,658.54,10,166,5.067549273769467
SKU-00104,WH-016,2026-04-23 19:39:49.260267,LOT-7904,ok,3663.0,481,660.71,54,364,5.764786574884472
SKU-00197,WH-009,2026-04-23 19:39:49.260269,LOT-5803,,2112.0,222,102.6,11,66,3.5468411124227126
SKU-00111,WH-006,2026-04-23 19:39:49.260270,,,1595.0,432,320.96,80,64,4.295692638694362
SKU-00388,WH-011,2026-04-23 19:39:49.260273,LOT-1458,,618.0,6,460.43,13,325,3.8108037194883684
SKU-00070,WH-001,2026-04-23 19:39:49.260274,,ok,2438.0,240,655.09,18,234,4.692381460741751
SKU-00200,WH-009,2026-04-23 19:39:49.260275,LOT-2096,ok,439.0,194,243.59,22,111,2.7811128988719096
SKU-00040,WH-019,2026-04-22 19:39:49.260277,LOT-6949,,511.0,440,771.28,51,265,3.7889296942200854
SKU-00053,WH-008,2026-04-23 19:39:49.260278,LOT-8743,ok,3362.0,473,38.92,63,330,3.4641824204306477
SKU-00341,WH-008,2026-04-23 19:39:49.260280,LOT-7701,,1427.0,210,459.63,22,346,5.189928621451453
SKU-00226,WH-009,2026-04-24 19:39:49.260282,,,2853.0,473,520.98,70,64,2.3782117146490465
SKU-00220,WH-006,2026-04-23 19:39:49.260283,,ok,2541.0,306,462.64,61,311,4.87847830942509
SKU-00136,WH-005,2026-04-24 19:39:49.260285,LOT-7857,ok,2836.0,215,52.49,58,84,5.540417155777344
SKU-00075,WH-010,2026-04-23 19:39:49.260286,LOT-2794,,367.0,191,365.94,51,389,2.6925567990709616
SKU-00439,WH-014,2026-04-24 19:39:49.260288,LOT-4375,,2809.0,5,158.03,83,375,3.6808187067696707
SKU-00397,WH-005,2026-04-22 19:39:49.260289,LOT-6274,,3669.0,340,437.52,77,294,3.423567303415191
SKU-00232,WH-005,2026-04-22 19:39:49.260291,LOT-1959,,4000.0,186,295.88,71,414,6.37323997997537
SKU-00010,WH-015,2026-04-22 19:39:49.260292,LOT-6308,,2064.0,350,661.74,52,334,6.105354552128652
SKU-00450,WH-011,2026-04-24 19:39:49.260294,LOT-9218,,2281.0,191,55.8,50,318,5.584487613950504
SKU-00216,WH-007,2026-04-23 19:39:49.260295,,,2650.0,51,344.37,54,52,4.972193094245034
SKU-00095,WH-017,2026-04-23 19:39:49.260296,LOT-2667,,3206.0,450,687.71,89,135,5.548241544193413
SKU-00064,WH-020,2026-04-24 19:39:49.260298,LOT-6906,ok,2297.0,449,526.08,44,336,5.203798805487266
SKU-00499,WH-017,2026-04-22 19:39:49.260299,LOT-8847,,,159,144.99,61,476,6.4100709762202
SKU-00014,WH-006,2026-04-22 19:39:49.260301,LOT-5725,,3554.0,125,647.37,5,280,4.549956497856546
SKU-00186,WH-020,2026-04-23 19:39:49.260302,LOT-8047,,3678.0,298,271.77,69,496,1.5342626944274174
SKU-00276,WH-008,2026-04-22 19:39:49.260304,LOT-3028,,3180.0,380,419.97,42,235,3.9083487051521537
SKU-00147,WH-002,2026-04-24 19:39:49.260305,,ok,4829.0,243,471.32,89,110,5.154081730131394
SKU-00078,WH-011,2026-04-22 19:39:49.260307,LOT-4157,,3525.0,471,98.83,4,363,4.108833557309865
SKU-00323,WH-020,2026-04-22 19:39:49.260308,LOT-3007,,4779.0,254,530.86,88,373,5.928805599171213
SKU-00035,WH-001,2026-04-22 19:39:49.260310,,ok,1161.0,146,548.79,55,50,3.4960239705091887
SKU-00488,WH-001,2026-04-23 19:39:49.260311,LOT-8256,ok,3257.0,351,509.32,19,445,5.580420397909535
SKU-00240,WH-001,2026-04-24 19:39:49.260313,,,3139.0,487,543.01,21,396,2.7436581664608783
SKU-00368,WH-017,2026-04-23 19:39:49.260314,,,1803.0,334,196.06,17,315,4.902859794310846
SKU-00422,WH-005,2026-04-22 19:39:49.260316,LOT-2430,,,387,188.1,2,449,3.527861291254633
SKU-00395,WH-010,2026-04-23 19:39:49.260317,,ok,2043.0,497,202.74,5,377,2.8953778390667106
SKU-00243,WH-002,2026-04-24 19:39:49.260319,LOT-2144,,371.0,366,214.66,68,100,4.430220600780059
SKU-00039,WH-019,2026-04-23 19:39:49.260320,LOT-4734,ok,1903.0,429,293.12,19,347,3.0415993799243726
SKU-00040,WH-016,2026-04-24 19:39:49.260322,,,277.0,52,203.83,30,209,5.424650820451839
SKU-00178,WH-012,2026-04-23 19:39:49.260323,,,4410.0,86,773.9,38,493,4.067497910418173
SKU-00153,WH-018,2026-04-23 19:39:49.260329,LOT-1990,,2904.0,231,71.47,58,440,4.6120326006162085
SKU-00444,WH-005,2026-04-24 19:39:49.260330,,ok,2997.0,388,679.59,71,369,4.435160802681904
SKU-00224,WH-009,2026-04-23 19:39:49.260332,,,2920.0,236,288.64,62,77,5.176685085591625
SKU-00499,WH-020,2026-04-23 19:39:49.260333,LOT-5173,,1845.0,418,488.0,76,458,3.6657851485697464
SKU-00141,WH-011,2026-04-22 19:39:49.260335,,,3863.0,447,256.9,45,152,5.843769759747835
SKU-00484,WH-007,2026-04-24 19:39:49.260336,LOT-1034,ok,2030.0,156,722.12,43,405,6.953058154840324
SKU-00169,WH-013,2026-04-23 19:39:49.260338,LOT-9072,,3824.0,245,57.66,1,412,3.170646568458197
SKU-00500,WH-019,2026-04-23 19:39:49.260339,LOT-1460,,2388.0,376,215.12,55,273,6.412981221800832
SKU-00251,WH-002,2026-04-24 19:39:49.260341,LOT-5243,,2278.0,192,769.0,72,210,3.838535137672134
SKU-00010,WH-020,2026-04-24 19:39:49.260342,LOT-4661,,1360.0,25,289.5,58,142,3.893856569457773
SKU-00472,WH-010,2026-04-23 19:39:49.260344,LOT-2532,,,212,204.94,34,202,5.515681357359002
SKU-00103,WH-002,2026-04-22 19:39:49.260345,LOT-7870,ok,1188.0,367,240.94,59,83,3.1730001930134435
SKU-00403,WH-020,2026-04-22 19:39:49.260346,LOT-4106,,1942.0,481,96.37,23,229,5.219003807290362
SKU-00410,WH-012,2026-04-22 19:39:49.260348,LOT-4695,,1794.0,107,275.03,5,237,5.161142031010545
SKU-00103,WH-005,2026-04-22 19:39:49.260350,LOT-7196,ok,4713.0,306,258.13,67,485,4.413090573715991
SKU-00285,WH-004,2026-04-23 19:39:49.260351,LOT-7967,,1923.0,300,226.77,46,255,4.3667266248446905
SKU-00393,WH-002,2026-04-24 19:39:49.260352,,,3446.0,249,69.72,71,76,3.857070979306611
SKU-00474,WH-011,2026-04-23 19:39:49.260354,LOT-1425,,1708.0,436,477.62,57,115,5.367799860798909
SKU-00198,WH-006,2026-04-23 19:39:49.260355,LOT-3311,,1744.0,381,550.92,73,215,4.034211519804503
SKU-00206,WH-007,2026-04-24 19:39:49.260357,LOT-4566,,1833.0,26,563.56,68,185,5.835185933171865
SKU-00408,WH-011,2026-04-24 19:39:49.260358,LOT-8050,ok,3516.0,140,133.35,69,212,5.873180018858467
SKU-00246,WH-020,2026-04-24 19:39:49.260360,LOT-4887,,1018.0,13,519.55,78,250,2.753706307387199
SKU-00309,WH-018,2026-04-22 19:39:49.260361,LOT-4654,,2700.0,427,711.91,17,490,2.9125470409075436
SKU-00058,WH-003,2026-04-24 19:39:49.260362,,,2522.0,257,782.53,46,71,4.276696350591221
SKU-00340,WH-008,2026-04-23 19:39:49.260364,LOT-7865,ok,2879.0,311,715.78,70,179,3.371189307828142
SKU-00167,WH-005,2026-04-24 19:39:49.260365,,,459.0,105,113.98,42,197,3.6731078055707145
SKU-00182,WH-007,2026-04-23 19:39:49.260367,,,4574.0,132,763.27,22,474,3.5195502414197257
SKU-00451,WH-019,2026-04-23 19:39:49.260368,LOT-5088,ok,1335.0,132,262.63,88,339,6.811740490518834
SKU-00357,WH-007,2026-04-24 19:39:49.260369,,,,48,28.67,28,231,5.874066705264899
SKU-00279,WH-013,2026-04-23 19:39:49.260371,,ok,1626.0,200,294.58,44,65,3.4890759652889147
SKU-00283,WH-017,2026-04-22 19:39:49.260372,LOT-1106,ok,4531.0,251,249.28,24,255,2.185043368074926
SKU-00428,WH-006,2026-04-23 19:39:49.260374,,,4863.0,365,542.46,9,437,3.815579470729441
SKU-00310,WH-010,2026-04-22 19:39:49.260376,LOT-6541,ok,2650.0,381,787.18,20,354,2.9612087582600437
SKU-00105,WH-017,2026-04-22 19:39:49.260378,LOT-4206,ok,4434.0,184,582.96,37,466,5.350127393734219
SKU-00274,WH-007,2026-04-23 19:39:49.260379,LOT-3378,,3830.0,163,543.89,52,266,4.571219143423654
SKU-00313,WH-014,2026-04-22 19:39:49.260381,LOT-7974,ok,4828.0,4,139.69,84,176,3.808401091725769
SKU-00028,WH-004,2026-04-24 19:39:49.260382,,,,481,577.08,55,147,4.397119913563878
SKU-00067,WH-019,2026-04-23 19:39:49.260384,LOT-9841,ok,3193.0,90,221.23,34,324,3.113985340001532
SKU-00238,WH-003,2026-04-23 19:39:49.260385,LOT-5560,,2827.0,267,226.69,67,427,4.219155706436593
